time,x,y,pressure,tilt_x,tilt_y
1607469161288403,12284,7044,4064,4294967196,3200
1607469161290262,12286,7052,4063,4294967196,3200
1607469161292097,12287,7060,4064,4294967196,3200
1607469161293944,12301,7067,4063,4294967196,3200
1607469161295794,12306,7074,4061,4294967196,3200
1607469161297645,12299,7083,4062,4294967196,3200
1607469161299486,12304,7091,4059,4294967196,3200
1607469161301343,12310,7100,4056,4294967196,3200
1607469161303190,12318,7110,4043,4294967196,3200
1607469161305038,12327,7120,4025,4294967196,3200
1607469161306886,12338,7131,4006,4294967196,3200
1607469161308733,12350,7142,3976,4294967196,3200
1607469161310584,12362,7152,3939,4294967196,3200
1607469161312431,12375,7162,3899,4294967196,3200
1607469161314278,12390,7172,3858,4294967196,3300
1607469161316123,12407,7181,3817,4294967196,3300
1607469161317974,12412,7190,3772,4294967196,3300
1607469161319826,12428,7200,3730,4294967196,3300
1607469161321662,12456,7210,3686,4294967196,3300
1607469161323514,12471,7218,3637,4294967196,3300
1607469161325358,12486,7226,3593,0,3300
1607469161327206,12500,7235,3550,0,3300
1607469161329054,12519,7243,3512,4294967196,3300
1607469161330908,12528,7249,3472,4294967196,3300
1607469161332752,12538,7256,3415,4294967196,3300
1607469161334603,12557,7263,3335,4294967196,3300
1607469161336448,12571,7268,3226,4294967196,3300
1607469161338299,12585,7274,3092,4294967196,3300
1607469161340148,12599,7280,2960,4294967196,3300
1607469161341999,12615,7285,2840,4294967196,3300
1607469161343847,12628,7290,2735,4294967196,3300
1607469161345694,12639,7296,2652,4294967196,3300
1607469161347548,12652,7302,2573,4294967196,3300
1607469161349387,12665,7306,2486,4294967196,3300
1607469161351232,12677,7310,2402,4294967196,3300
1607469161353079,12694,7314,2333,4294967196,3300
1607469161354929,12700,7319,2279,4294967196,3300
1607469161356775,12703,7322,2253,4294967196,3300
1607469161358624,12712,7323,2242,4294967196,3300
1607469161360475,12719,7325,2237,4294967196,3300
1607469161362324,12724,7327,2240,4294967196,3300
1607469161364171,12729,7328,2260,4294967196,3300
1607469161366019,12728,7328,2316,4294967196,3300
1607469161367867,12730,7326,2430,4294967196,3300
1607469161369716,12736,7325,2596,4294967196,3300
1607469161371559,12732,7324,2766,4294967196,3300
1607469161373404,12732,7322,2930,4294967196,3300
1607469161375251,12732,7320,3077,4294967196,3300
1607469161377100,12727,7318,3205,4294967196,3300
1607469161378946,12727,7315,3312,4294967196,3300
1607469161380803,12728,7312,3394,4294967196,3300
1607469161382649,12725,7308,3469,4294967196,3300
1607469161384497,12722,7304,3522,4294967196,3300
1607469161386345,12718,7300,3563,4294967196,3300
1607469161388190,12720,7294,3614,4294967196,3300
1607469161390053,12712,7288,3648,4294967196,3300
1607469161391915,12700,7281,3687,4294967196,3300
1607469161393736,12694,7276,3727,4294967196,3300
1607469161395585,12686,7271,3757,4294967196,3300
1607469161397436,12676,7265,3788,4294967196,3300
1607469161399281,12667,7259,3817,4294967196,3300
1607469161401129,12655,7253,3845,4294967196,3300
1607469161402980,12642,7248,3869,4294967196,3300
1607469161404828,12634,7242,3893,4294967196,3300
1607469161406674,12624,7236,3916,4294967196,3300
1607469161408521,12613,7231,3934,4294967196,3300
1607469161410381,12601,7226,3948,4294967196,3300
1607469161412213,12578,7221,3964,4294967196,3300
1607469161414062,12566,7216,3981,4294967196,3300
1607469161415907,12566,7209,3998,4294967196,3300
1607469161417760,12554,7203,4016,4294967196,3300
1607469161419608,12542,7198,4031,4294967196,3300
1607469161421461,12529,7192,4047,4294967196,3300
1607469161423306,12523,7187,4064,4294967196,3300
1607469161425154,12507,7182,4077,4294967196,3300
1607469161427002,12488,7177,4084,4294967196,3300
1607469161428850,12479,7172,4089,4294967196,3300
1607469161430701,12467,7169,4095,4294967196,3300
1607469161432544,12455,7166,4095,4294967196,3300
1607469161434394,12443,7163,4095,4294967196,3300
1607469161436241,12438,7160,4095,4294967196,3300
1607469161438089,12425,7157,4095,4294967196,3300
1607469161439937,12408,7156,4095,4294967196,3300
